datasetid,un_stats_sdg_goal_code
plateforme-recifale-des-ilots,"13,14"
beachrock-des-ilots,
evolution-du-trait-de-cote-des-ilots,
permis-de-recherches-miniers0,
tendance-evolutive-actuelle-des-ilots,"13,14,15"
titres-miniers-echus0,
vitesse-devolution-des-ilots,"13,14,15"
zones-de-survol-des-drones-de-loisir,
zones-minieres-interdites0,
cote-potentiellement-soumise-a-lalea-mouvement-de-terrain,"13,14,15"
cote-potentiellement-soumise-a-lalea-erosion,"13,14,15"
profils-sismiques-reflexion-bdd-tasman-frontier,
evolution-des-surfaces-du-littoral-de-lanse-vata,
limites-des-chantiers-dorthophotographies-bdchantier-nc0,
schema-directeur-de-lhydrographie,6
etude-bv-aep-regulation-especes-envahissantes-etude-ci-2013-2016,
oblic-sensibilite-morpho-sedimentaire-esi-du-littoral0,
perimetres-de-protection-des-eaux0,6
profils-sismiques-refraction-nc,
contraintes-de-circulation,
profils-sismiques-reflexion-nc,
grands-barrages-de-nouvelle-caledonie0,"6,7"
vitesse-devolution-du-littoral,13
pointes-des-anomalies-magnetiques-sud-ouest-pacifique,
provinces-structurales-nature,
provinces-structurales-age,
evolution-des-surfaces-des-ilots,
alea-amiante-environnemental,
element-morphologique-des-ilots,
occupation-du-sol-du-littoral,
comptage-trafic-routier,
typologie-du-littoral,
tendance-evolutive-actuelle-du-littoral,
concessions-minieres0,
localites-et-zones-baties0,
bdloc-nc-referentiel-des-donnees-publiques-localisees0,
vitesse-devolution-du-littoral-de-lanse-vata,"13,11"
evolution-des-surfaces-du-littoral,"13,11"
historique-des-trajectoires,
historique-des-positions,
bdadmin-nc-au-format-geodatabase,
cote-potentiellement-soumise-a-lalea-submersion-marine,
cellules-sedimentaires-tous-niveaux,
trait-de-cote,"13,11"
sections-cadastrales,
adaptation-obstacle,
zones-cles-de-biodiversite-terrestres,"15,13"
bornes-de-recharge-pour-vehicules-electriques0,"7,9,11,13"
zones-cles-de-biodiversite-cotieres,"2,12,13,14,15"
zones-cles-de-biodiversite-marines,"2,12,13,14,15"
cellules-sedimentaires-de-niveau-2,
rouille-des-myrtacees,
cellules-sedimentaires-de-niveau-1,
installations-classees-pour-lenvironnement-de-nouvelle-caledonie-icpe,
cellules-sedimentaires-de-niveau-3,
dispositifs-dacces-aux-droits-et-daide-aux-victimes,3
chenaux-du-lagon,
protection-des-cetaces-tortues-et-requins,"14,13"
foret-seche,"15,13"
toponymes0,
trait-de-cote0,"15,13,11"
politiques-des-peches,"14,16,12,8,2"
limites-des-chantiers-de-cartographie-numerique-bdchantier-nc,
categories-de-navigation-professionnelle-maritime0,
reperes-de-plus-hautes-eaux,
aires-protegees-du-gouvernement-de-la-nouvelle-caledonie,"15,14,12,2"
especes-caracteristiques-tortues-oiseaux-communautes-sous-marines,"14,15"
plan-de-servitude-aeronautique-psa,
indices-de-vulnerabilites,"15,13"
oblic-cellules-hydrosedimentaires-de-nouvelle-caledonie,
apports-sedimentaires-continentaux,
denomination-des-voies-bdroute-nc,
oblic-classification-de-levolution-du-trait-de-cote-des-sites-cotiers,
unites-paysageres-fonctionnelles,
connectivite-a-courte-distance,"15,13"
aire-dorigine-presumee,
zone-de-vigilance,"15,13"
stations-subaquatiques-par-methode,
connectivite-a-moyenne-distance,"15,13"
oblic-evolution-du-littoral-des-ilots0,"15,13"
ports-a-sec-en-province-sud,
sempex_202007,"6,10"
tribus-en-province-nord,
referentiel-douanier-tarif-douanier-sections-unhs1tab,
referentiel-douanier-codes-des-pays-unctytab,
sempex_202104,"6,10"
troncvoi-montdore,
reussite_brevet_par_college,4
consommation-stupefiants-depuis-2008,"3,16"
sempex_202002,"6,10"
carriere-des-fonctionnaires-de-la-nouvelle-caledonie-et-des-communes-depuis-2000,
referentiel-douanier-taux-de-change,
troncvoi-pouembout,
top-10-prenoms-a-noumea-depuis-1860,
rp-2019-logements,
recensement-de-la-population-2019-individus-nc,"3,4,5,10,11,16"
rna-nc,
communes-nc-limites-terrestres-simplifiees,
sempex_202003,"6,10"
referendum-2018,
comptage-des-invertebres-de-la-province-des-iles-depuis-2004,"15,14,13"
adresse-pouembout,
referentiel-douanier-codes-additionnels-nationaux-cana_tab,
rp-2019-indv-piles,
sempex_202102,"6,10"
population-par-groupe-decennal-recensement-2014,
sempex_201912,"6,10"
etablissements-artisanaux-actifs-au-31-12-2021,
referentiel-des-immeubles-localises-refil,
referentiel-douanier-tarif-douanier-sous-positions-unhs5tab,
referentiel-douanier-unites-supplementaires-unuomtab,
rp-2019-indv-psud,
sempex_202103,"6,10"
sempex_202010,"6,10"
production-miniere-depuis-1875,
prix-des-energies-depuis-2009,
referentiel-douanier-tarif-douanier-compilation,
etablissements-artisanaux-actifs-au-31-12-2020,
comptage-des-poissons-de-la-province-des-iles-depuis-2004,
icpe-province-sud,
adresse-dumbea,
centres-vacances-loisirs-province-sud,"3,4,5,10,11,16"
bsa-2015,
troncvoi-kaala-gomen,
sempex_202005,"6,10"
sempex_202108,"6,10"
delai-paiement-facture-nc,8
etablissements_enseignement_premier_second_degre,"4,5"
effectifs_eleves_par_college,"4,5"
sempex_202008,"6,10"
referendum-2020,
sempex_202006,"6,10"
salaire-minimum-garanti-smg-smag,"1,8,12"
situation-budgetaire-de-la-nouvelle-caledonie-depuis-2012,
saison-administrative-des-feux-de-foret-depuis-2015,"15,13"
autorisations_importations_inspection_pharmacie_depuis_2008,3
referentiel-douanier-tarif-douanier-positions-unhs4tab,
voie-paita,
atlas-equipements-publics-serail,
referentiel-douanier-preferences-douanieres-unprftab,
riife_structures,
pontons-en-province-sud,
sempex_202101,"6,10"
sempex_202012,"6,10"
sempex_202009,"6,10"
reussite_voie_professionnelle,"4,5,8,16"
mvt-avions-tontouta,
patrimoine-historique-et-culturel-de-la-province-sud,
